NULL,0,0,../assets/assignment_8_nov/stage2.csv,-2.25,0,NULL,0,0,NULL,0,0,,,,,,,,,,,,,
R,R,R,R,R,R,R,R,R,R,R,R,L,L,R,R,R,R,R,R,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R,R,R,L,L,R,R,R,R,R,R,R,R,R,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,R,R,,,B,,,,,,,R,R,,,,,R,R
R,R,,,,,R,R,,,,,,,,,,R,R,,,,,R,R
R,R,,,,,R,R,,,,,,,,,,R,R,,,,,R,R
R,R,,,,,R,R,,,,,,,,,,R,R,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,R,R,R,R,,,,,,,,,R,R
R,R,,,,,,,,,,R,R,R,R,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
