../assets/assignment_8_nov/stage1.csv,2.25,0,NULL,1,1,NULL,1,1,NULL,1,1,,,,,,,,,,,,,
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
,,,,,,,,,,,,B,,,,,,,,,,,R,R
,,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,,,,,,,,,,,,,,,,,,,,,,R,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
